"year","carrier_name","arr_flights","arr_del15","arr_delay","arr_del15_rate","arr_delay_ave"
2014,"United",493528,109965,6473753,0.223,58.9
2014,"Virgin America",57510,10199,667475,0.177,65.4
2015,"Alaska",172521,22352,1074977,0.13,48.1
2015,"American",725984,130279,7831435,0.179,60.1
2015,"Delta",875881,118023,7229891,0.135,61.3
2015,"ExpressJet",571977,109184,6850156,0.191,62.7
2015,"Frontier",90836,23570,1583839,0.259,67.2
2015,"Hawaiian",76272,8618,341192,0.113,39.6
2015,"JetBlue",267048,59175,3610200,0.222,61
2015,"SkyWest",588352,107795,6506580,0.183,60.4
2015,"Southwest",1261855,236626,12371384,0.188,52.3
2015,"Spirit",117379,34221,2162991,0.292,63.2
2015,"United",515723,104722,6775806,0.203,64.7
2015,"Virgin America",61903,11778,663117,0.19,56.3
